"Lake","Gear","Set","Lat","Lon","Date","Species","Fork_length","Weight","Sex","Mark","Floy","PIT","Recap","cap_label","Fish_notes","event_num","lake_combined","stat","grouping","corrected_length","class","year_cap","year_recap"
"Shallow","OTH",74,63.07882,-145.95773,2023-06-19,"LT","670",5557,NA,"Gray Floy 18088; PIT OBFE","18088","OBFE",NA,"n1","Gear = Baited Hookless Jug Line",2,"Shallow_Round","n1","n1",670,NA,NA,NA
"Upper","OTH",56,63.04098,-146.04663,2023-06-22,"LT","547",2495,NA,"Gray Floy 18571; PIT 2855","18571","2855",NA,"n1","Gear = Baited Hookless Jug Line",2,"Upper","n1","n1",547,NA,NA,NA
"Upper","OTH",47,63.04253,-146.04902,2023-06-21,"LT","611",3629,NA,"Gray Floy 18564; PIT 2824","18564","2824",NA,"n1","Gear = Baited Hookless Jug Line",2,"Upper","n1","n1",611,NA,NA,NA
"Upper","OTH",18,63.04097,-146.05188,2023-06-13,"LT","678",5534,NA,"Gray Floy 18037; PIT OBF7","18037","OBF7",NA,"n1","Gear = Baited Hookless Jug Line",2,"Upper","n1","n1",678,NA,NA,NA
"Upper","OTH",55,63.02948,-146.06066,2023-06-22,"LT","713",6123,NA,"Gray Floy 18570; PIT 2819","18570","2819",NA,"n1","Gear = Baited Hookless Jug Line",2,"Upper","n1","n1",713,NA,NA,NA
"Upper","OTH",1,63.03962,-146.05309,2023-06-11,"LT","720",5942,NA,"Gray Floy 18008; PIT OCOE","18008","OCOE",NA,"n1","Gear = Baited Hookless Jug Line",2,"Upper","n1","n1",720,NA,NA,NA
"Upper","OTH",29,63.03875,-146.05318,2023-06-17,"LT","796",7371,NA,"Gray Floy 18055; PIT OCOA","18055","OCOA",NA,"n1","Gear = Baited Hookless Jug Line",2,"Upper","n1","n1",796,NA,NA,NA
"Upper","OTH",6,63.04026,-146.05315,2023-06-12,"LT","863",9072,NA,"Gray Floy 18013; PIT OC17","18013","OC17",NA,"n1","Gear = Baited Hookless Jug Line",2,"Upper","n1","n1",863,NA,NA,NA
"Lower","ANG",98,63.13901,-145.95796,2023-06-21,"LT","292",NA,NA,"Gray Floy 18622; PIT 12F9","18622","12F9",NA,"n1","Gear = Baited Lure",2,"Lower","n1","n1",292,NA,NA,NA
"Lower","ANG",47,63.13815,-145.96012,2023-06-20,"LT","401",NA,NA,"Gray Floy 18647; PIT 132E","18647","132E",NA,"n1","Gear = Baited Lure",2,"Lower","n1","n1",401,NA,NA,NA
"Lower","ANG",52,63.13208,-145.97005,2023-06-20,"LT","434",NA,NA,"Gray Floy 18633; PIT 132F","18633","132F",NA,"n1","Gear = Baited Lure",2,"Lower","n1","n1",434,NA,NA,NA
"Lower","ANG",55,63.14458,-145.95581,2023-06-20,"LT","455",NA,NA,"Gray Floy 18603; PIT 134C","18603","134C",NA,"n1","Gear = Baited Lure",2,"Lower","n1","n1",455,NA,NA,NA
"Lower","ANG",109,63.13558,-145.95725,2023-06-21,"LT","495",NA,NA,"Gray Floy 18617; PIT 131E","18617","131E",NA,"n1","Gear = Baited Lure",2,"Lower","n1","n1",495,NA,NA,NA
"Lower","ANG",63,63.13822,-145.95952,2023-06-20,"LT","495",1474,NA,"Gray Floy 18636; PIT 1342","18636","1342",NA,"n1","Gear = Baited Lure",2,"Lower","n1","n1",495,NA,NA,NA
"Lower","ANG",112,63.13034,-145.96284,2023-06-21,"LT","500",NA,NA,"Gray Floy 18616; PIT 12F7","18616","12F7",NA,"n1","Gear = Baited Lure",2,"Lower","n1","n1",500,NA,NA,NA
"Lower","ANG",70,63.13947,-145.95647,2023-06-20,"LT","536",1588,NA,"Gray Floy 18635; PIT 134O","18635","134O",NA,"n1","Gear = Baited Lure",2,"Lower","n1","n1",536,NA,NA,NA
"Round","ANG",67,63.0566,-145.98206,2023-06-23,"LT","332",NA,NA,"Gray Floy 18572; PIT 2832","18572","2832",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",332,NA,NA,NA
"Round","ANG",68,63.0566,-145.98206,2023-06-23,"LT","332",NA,NA,"Gray Floy 18573; PIT 28OC","18573","28OC",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",332,NA,NA,NA
"Round","ANG",70,63.0566,-145.98206,2023-06-23,"LT","342",NA,NA,"Gray Floy 18575; PIT 284D","18575","284D",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",342,NA,NA,NA
"Round","ANG",111,63.0606,-145.99131,2023-06-26,"LT","355",454,NA,"Gray Floy 18577; PIT 283O","18577","283O",NA,"n1","Gear = Baited Lure",2,"Shallow_Round","n1","n1",355,NA,NA,NA
